CEREBELLUM QBANK - TOPIC-WISE MCQ BREAKDOWN
============================================================
Subject,Prof,Modules,Total MCQs,Topic,Topic MCQs
Psychiatry,Fourth Prof,37,603,Substance Related and Addictive Disorders,70
Psychiatry,Fourth Prof,37,603,Neurocognitive Disorders,50
Psychiatry,Fourth Prof,37,603,Personality Disorders,20
Psychiatry,Fourth Prof,37,603,Eating Disorders,24
Psychiatry,Fourth Prof,37,603,Sleep Disorders,21
Psychiatry,Fourth Prof,37,603,Sexual Disorders,17
Psychiatry,Fourth Prof,37,603,Child Psychiatry,32
Psychiatry,Fourth Prof,37,603,Psychoanalysis,18
Psychiatry,Fourth Prof,37,603,Miscellaneous,45
Radiology,Fourth Prof,37,518,Introduction,44
Radiology,Fourth Prof,37,518,X-ray,13
Radiology,Fourth Prof,37,518,CT,19
Radiology,Fourth Prof,37,518,MRI,22
Radiology,Fourth Prof,37,518,USG,17
Radiology,Fourth Prof,37,518,Contrast Media,16
Radiology,Fourth Prof,37,518,Gastrointestinal Imaging,50
Radiology,Fourth Prof,37,518,Hepato-Pancreatico-Biliary Imaging,20
Radiology,Fourth Prof,37,518,Genito-Urinary Radiology,32
Radiology,Fourth Prof,37,518,Womens Imaging,28
Radiology,Fourth Prof,37,518,Neuroradiology,47
Radiology,Fourth Prof,37,518,Respiratory Radiology,50
Radiology,Fourth Prof,37,518,CVS Radiology,29
Radiology,Fourth Prof,37,518,MSK Imaging,43
Radiology,Fourth Prof,37,518,Nuclear Medicine,34
Radiology,Fourth Prof,37,518,Radiotherapy,28
Radiology,Fourth Prof,37,518,Radiological Anatomy,17
Radiology,Fourth Prof,37,518,Named X-Ray Views,9
Dermatology,Fourth Prof,42,707,Basics of Dermatology,59
Dermatology,Fourth Prof,42,707,Hair,29
Dermatology,Fourth Prof,42,707,Nail,25
Dermatology,Fourth Prof,42,707,Adnexa and Appendages,27
Dermatology,Fourth Prof,42,707,Papulosquamous Disorders,62
Dermatology,Fourth Prof,42,707,Blistering Vesiculobullous Diseases,60
Dermatology,Fourth Prof,42,707,Leprosy,55
Dermatology,Fourth Prof,42,707,Infectious Disorders,147
Dermatology,Fourth Prof,42,707,Sexually Transmitted Diseases,67
Dermatology,Fourth Prof,42,707,Eczematous Disorders,35
Dermatology,Fourth Prof,42,707,Pigmentary Disorders,25
Dermatology,Fourth Prof,42,707,Connective Tissue Disorders and Drug Eruptions,33
Dermatology,Fourth Prof,42,707,Genetics and Skin,22
Dermatology,Fourth Prof,42,707,Systemic and Nutritional Dermatology,24
Dermatology,Fourth Prof,42,707,Skin Tumours,22
Dermatology,Fourth Prof,42,707,Short Topics in Dermatology,15
Anesthesia,Fourth Prof,26,518,Introduction of Anesthesia,12
Anesthesia,Fourth Prof,26,518,Day Care Anesthesia,8
Anesthesia,Fourth Prof,26,518,Pre-Anesthesia Evaluation,39
Anesthesia,Fourth Prof,26,518,Monitoring in Anesthesia,42
Anesthesia,Fourth Prof,26,518,Instruments in Anesthesia,71
Anesthesia,Fourth Prof,26,518,Inhalational Anesthetic Agents,32
Anesthesia,Fourth Prof,26,518,Intravenous Anesthetic Agents,61
Anesthesia,Fourth Prof,26,518,Local Anesthetics,38
Anesthesia,Fourth Prof,26,518,Neuromuscular Blocking Drugs,34
Anesthesia,Fourth Prof,26,518,Regional Anesthesia,56
Anesthesia,Fourth Prof,26,518,Cardiopulmonary Resuscitation,34
Anesthesia,Fourth Prof,26,518,Pediatric and Obstetric Anesthesia,25
Anesthesia,Fourth Prof,26,518,Anesthetic Implication of Concurrent Diseases,26
Anesthesia,Fourth Prof,26,518,Miscellaneous,40
