subject,topic,question_count
Pathology,RBCs & Anemia  Basics,20
Pathology,Hemolytic Anemia Classification & Examples,25
Pathology,Types of Anemia,29
Pathology,Lung Basics & Congenital Anomalies of Lungs,6
Pathology,Pulmonary Edema,2
Pathology,Chronic Pulmonary Disease Classification,3
Pathology,Emphysema,6
Pathology,Chronic Bronchitis,2
Pathology,Bronchiectasis,3
Pathology,Hypersensitivity Pneumonitis,1
Pathology,Atelectasis,1
Pathology,Asthma,7
Pathology,Pneumonia & ARDS,6
Pathology,Introduction to Cell Injury,5
Pathology,Hypertrophy & Hyperplasia,12
Pathology,Metaplasia,12
Pathology,Atrophy,7
Pathology,Reversible Injury,4
Pathology,Necrosis,14
Pathology,Apoptosis,29
Pathology,Necroptosis & Pyroptosis,7
Pathology,Ferroptosis,1
Pathology,Intracellular Accumulation,15
Pathology,Cellular Ageing,7
Pathology,Free Radicals,9
Pathology,Nephrotic Syndrome Basics,2
Pathology,FSGS,5
Pathology,Alports Syndrome,1
Pathology,Glomerulonephritis Basics,3
Pathology,PSGN,5
Pathology,RPGN,5
Pathology,MCD,2
Pathology,MGN,4
Pathology,MPGN,4
Pathology,Lesions of Breast & Breast CA,17
Pathology,Penis Lesions & Tumors,2
Pathology,Prostate Adenocarcinoma,2
Pathology,Testis Lesions & Tumors,14
Pathology,Myelodysplastic syndrome,5
Pathology,"Acute Leukemia, Clinical Features & Classification",16
Pathology,Chronic Myeloproliferative Neoplasms Introduction,3
Pathology,Chronic Myeloid Leukemia,7
Pathology,Polycythemia Vera,2
Pathology,Primary Meyelofibrosis,3
Pathology,CLPN  Basics,7
Pathology,Non-Hodgkins Lymphoma,11
Pathology,Plasma Cell Neoplasms,18
Pathology,Essential Thromobocythemia,1
Pathology,Hodgkins Lymphoma,9
Pathology,Repair & Regeneration,6
Pathology,Myasthenia Gravis & Lems,1
Pathology,Nerve Injury & Demyelinating Neuropathy,1
Pathology,Muscular Dystrophy & Myopathies,9
Pathology,Mutation Types & Pathogenesis,2
